file,status,error,bank_name,year,presence,tokens,out_tokens
215 Holding Co._Y-6_2024-12-31_English_241941508,passed,,215 HOLDING CO.,2024,insiders,2508,183
215 Holding Co._Y-6_2024-12-31_English_241941508_2,passed,,215 HOLDING CO.,2024,none,2524,64
Adrian Building Corporation_Y-6_2024-12-31_English_241941592,passed,,ADRIAN BUILDING CORPORATION,2024,none,2602,62
Adrian Building Corporation_Y-6_2024-12-31_English_241941592_2,passed,,ADRIAN BUILDING CORPORATION,2024,none,2540,62
"American Bancorporation of Minnesota, Inc._Y-6_2024-12-31_English_244992626_1",passed,,"AMERICAN BANCORPORATION OF MINNESOTA, INC.",2024,insiders,5858,3261
"American Bancorporation of Minnesota, Inc._Y-6_2024-12-31_English_244992626_2",passed,,"AMERICAN BANCORPORATION OF MINNESOTA, INC.",2024,insiders,5858,3261
"American State Bank Holding Company, Inc._Y-6_2024-12-31_English_245095417_1",passed,,"AMERICAN STATE BANK HOLDING COMPANY, INC.",2024,insiders,6162,2005
"American State Bank Holding Company, Inc._Y-6_2024-12-31_English_245095417_2",passed,,"AMERICAN STATE BANK HOLDING COMPANY, INC.",2024,insiders,6162,2385
"Apollo Bancorp, Inc._Y-6_2024-03-31_English_241964000_1",passed,,"Apollo Bancorp, Inc.",2023,insiders,3081,1113
"Apollo Bancorp, Inc._Y-6_2024-03-31_English_241964000_2",passed,,"Apollo Bancorp, Inc.",2023,insiders,3081,1078
BHCB Holding Company_Y-6_2024-12-31_English_244991242_1,passed,,BHCB HOLDING COMPANY,2024,none,2497,63
BHCB Holding Company_Y-6_2024-12-31_English_244991242_2,passed,,BHCB HOLDING COMPANY,2024,none,2493,63
"Bakken Securities, Inc._Y-6_2024-12-31_English_246167528_1",passed,,"BAKKEN SECURITIES, INC.",2024,insiders,2532,304
"Bakken Securities, Inc._Y-6_2024-12-31_English_246167528_2",passed,,"BAKKEN SECURITIES, INC.",2024,insiders,2532,304
Bancorp of Montana Holding Company_Y-6_2024-12-31_English_246160737_1,passed,,BANCORP OF MONTANA HOLDING COMPANY,2024,insiders,4510,1554
Bancorp of Montana Holding Company_Y-6_2024-12-31_English_246160737_2,passed,,BANCORP OF MONTANA HOLDING COMPANY,2024,insiders,4513,1554
"Bay Area Banking Shares, Inc._Y-6_2024-12-31_English_246170332_1",passed,,"BAY AREA BANKING SHARES, INC.",2024,both,5790,2156
"Bay Area Banking Shares, Inc._Y-6_2024-12-31_English_246170332_2",passed,,"BAY AREA BANKING SHARES, INC.",2024,both,5813,2153
Beall Bancshares Inc._Y-6_2024-12-31_English_244992220_1,passed,,BEALL BANCSHARES INC.,2024,none,2546,65
Beall Bancshares Inc._Y-6_2024-12-31_English_244992220_2,passed,,BEALL BANCSHARES INC.,2024,none,2546,65
"Bigfork Bancshares, Inc._Y-6_2024-12-31_English_241944726",passed,,"BIGFORK BANCSHARES, INC.",2024,none,2579,67
"Bigfork Bancshares, Inc._Y-6_2024-12-31_English_241944726_2",passed,,"BIGFORK BANCSHARES, INC.",2024,none,2595,67
"Blue Lion Bancshares, Inc._Y-6_2024-12-31_English_244058579",failed,"Expecting ',' delimiter: line 969 column 6 (char 19013)",,,,,
"Blue Lion Bancshares, Inc._Y-6_2024-12-31_English_244058579_2",passed,,BlueLion Bancshares Inc,2024,none,2281,64
"Bosshard Banco, Ltd._Y-6_2024-12-31_English_245096324_1",passed,,"BOSSHARD BANCO, LTD.",2024,both,7072,3086
"Bosshard Banco, Ltd._Y-6_2024-12-31_English_245096324_2",passed,,"BOSSHARD BANCO, LTD.",2024,both,7099,2906
"Bozeman Bancorp, Inc._Y-6_2024-12-31_English_245095421_1",passed,,"BOZEMAN BANCORP, INC.",2024,both,5152,2270
