file,status,error,bank_name,year,presence,tokens,out_tokens
1867 Western Financial Corporation_Y-6_2008-12-31_English_8826439_2,failed,Invalid \escape: line 254 column 55 (char 5349),,,,,
1867 Western Financial Corporation_Y-6_2008-12-31_English_8826439_4,passed,,1867 Western Financial,2008,both,8613,4326
"1889 Bancshares, Inc._Y-6_2008-12-31_English_8843009_2",failed,"403 Forbidden. {'message': '<html>\r\n<head><title>403 Forbidden</title></head>\r\n<body>\r\n<center><h1>403 Forbidden</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Forbidden'}",,,,,
"1889 Bancshares, Inc._Y-6_2008-12-31_English_8843009_4",failed,"403 Forbidden. {'message': '<html>\r\n<head><title>403 Forbidden</title></head>\r\n<body>\r\n<center><h1>403 Forbidden</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Forbidden'}",,,,,
1895 MHC_Y-6_2008-12-31_English_8655490_2,passed,,1895 MIC,2008,insiders,3139,4350
1895 MHC_Y-6_2008-12-31_English_8655490_4,passed,,BAY STATE SAVINGS BANK,2008,both,3150,4454
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2008-12-31_English_8649249_2",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2008,both,4438,2056
"1ST SUMMIT BANCORP of Johnstown, Inc._Y-6_2008-12-31_English_8649249_4",passed,,"1ST SUMMIT BANCORP OF JOHNSTOWN, INC.",2008,both,4426,2045
"1st Advantage Bancshares, Inc._Y-6_2008-12-31_English_8844015_2",passed,,"1st Advantage Bancshares, Inc.",2008,both,5738,1437
"1st Advantage Bancshares, Inc._Y-6_2008-12-31_English_8844015_4",passed,,"1st Advantage Bancshares, Inc.",2008,both,5738,1666
"1st Century Bancshares, Inc._Y-6_2008-12-31_English_8763091_2",passed,,"187 CENTURY BANCEHARES, INC.",2008,both,5043,371
"1st Century Bancshares, Inc._Y-6_2008-12-31_English_8763091_4",passed,,"187 CENTURY BANCEHARES, INC.",2008,securities,5043,249
"1st Colonial Bancorp, Inc._Y-6_2008-12-31_English_8649250_2",passed,,"1st Colonial Bancorp, Inc.",2008,insiders,4184,2092
"1st Colonial Bancorp, Inc._Y-6_2008-12-31_English_8649250_4",passed,,"1st Colonial Bancorp, Inc.",2008,insiders,4195,2110
1st Constitution Bancorp_Y-6_2008-12-31_English_8084201_2,passed,,1st Constitution Bancorp,2008,both,3043,1010
1st Constitution Bancorp_Y-6_2008-12-31_English_8084201_4,passed,,1st Constitution Bancorp,2008,both,2732,1138
"1st Financial Bancshares, Inc._Y-6_2008-12-31_English_8843239_2(1)",failed,"Expecting ',' delimiter: line 431 column 6 (char 25145)",,,,,
"1st Financial Bancshares, Inc._Y-6_2008-12-31_English_8843239_2",failed,"Expecting ',' delimiter: line 417 column 6 (char 24255)",,,,,
"1st Financial Bancshares, Inc._Y-6_2008-12-31_English_8843239_4(1)",failed,"Expecting ',' delimiter: line 375 column 6 (char 24141)",,,,,
"1st Financial Bancshares, Inc._Y-6_2008-12-31_English_8843239_4",failed,"Expecting ',' delimiter: line 431 column 6 (char 23606)",,,,,
1st Financial Services Corporation_Y-6_2008-12-31_English_8860743,failed,"504 Gateway Timeout. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Timeout'}",,,,,
1st Financial Services Corporation_Y-6_2008-12-31_English_8860743_2,passed,,1st Financial Services Corporation,2008,insiders,5836,2078
